date,transect,start_cm,stop_cm
6/29/2022,t2,3650,3915
6/29/2022,t3,4590,4740
6/29/2022,t3,5080,5130
7/5/2022,t4,685,725
7/5/2022,t4,5005,5180
7/5/2022,t41,1340,1395
7/5/2022,t41,4120,4170
7/5/2022,t41,4630,4900
7/5/2022,t41,7200,7550
7/6/2022,t1,345,600
7/6/2022,t1,6740,6830
7/6/2022,t5,1470,1560
7/6/2022,t5,7390,7515
7/7/2022,t6,1895,1980
7/7/2022,t7,0,0
7/8/2022,t32,4980,5040
7/8/2022,t13,5215,5350
7/8/2022,t13,5820,5915
7/8/2022,t14,9595,9690
7/12/2022,t33,5460,5860
7/12/2022,t33,6300,6370
7/12/2022,t34,1045,1090
7/12/2022,t34,1340,1415
7/12/2022,t34,3160,3260
7/12/2022,t35,0,510
7/12/2022,t36,1390,1575
7/12/2022,t36,9990,10000
7/12/2022,t37,1090,1205
7/12/2022,t37,1370,1445
7/12/2022,t37,1530,1560
7/12/2022,t37,1640,1685
7/12/2022,t37,7500,9140
7/13/2022,t18,3120,3230
7/13/2022,t18,8980,9025
7/13/2022,t63,350,470
7/13/2022,t63,1205,1380
7/13/2022,t63,5180,5230
7/13/2022,t63,5380,5435
7/13/2022,t63,5475,5595
7/13/2022,t38,0,100
7/13/2022,t39,8465,8585
7/13/2022,t39,8615,8665
7/13/2022,t39,8790,8900
7/14/2022,t22,0,0
7/14/2022,t40,4620,4650
7/14/2022,t40,4685,4750
7/14/2022,t40,6990,7610
7/14/2022,t23,495,2050
7/15/2022,t53,3090,3240
7/15/2022,t53,3485,3650
7/15/2022,t53,9955,10000
7/15/2022,t62,0,0
7/15/2022,t64,7255,7320
7/18/2022,t8,4990,5025
7/18/2022,t8,6320,6410
7/18/2022,t61,7780,8000
7/18/2022,t61,8110,8210
7/18/2022,t61,8495,9250
7/18/2022,t19,1815,1855
7/18/2022,t19,5165,5205
7/18/2022,t19,5310,5405
7/18/2022,t54,4330,4360
7/18/2022,t54,4580,4620
7/18/2022,t55,0,0
7/19/2022,t56,2675,2870
7/19/2022,t56,8935,9020
7/19/2022,t56,9205,9245
7/19/2022,t56,9300,9320
7/19/2022,t56,9655,9710
7/19/2022,t56,9810,9975
7/19/2022,t21,65,135
7/19/2022,t21,1185,1595
7/19/2022,t21,4450,4620
7/19/2022,t9,0,0
7/19/2022,t60,470,525
7/19/2022,t60,725,835
7/19/2022,t60,2565,3715
7/19/2022,t60,5355,6030
7/19/2022,t60,6750,6960
7/20/2022,t57,0,0
7/20/2022,t20,505,645
7/20/2022,t58,2240,2305
7/20/2022,t58,3345,3390
7/20/2022,t58,3535,3660
7/21/2022,t17,6070,6130
7/21/2022,t17,6220,6255
7/21/2022,t17,7358,7440
7/21/2022,t17,8060,8110
7/21/2022,t17,9910,10000
7/21/2022,t59,4220,4410
7/25/2022,t72,7760,7795
