date,transect,parallel_shape,perpendicular_shape
6/29/2022,t2,flat,flat
6/29/2022,t3,flat,flat
7/5/2022,t4,flat,flat
7/5/2022,t41,cave,cave
7/6/2022,t1,cave,cave
7/6/2022,t5,flat,flat
7/7/2022,t6,,
7/7/2022,t7,flat,flat
7/8/2022,t32,flat,flat
7/8/2022,t13,flat,flat
7/8/2022,t14,flat,flat
7/12/2022,t33,flat,flat
7/12/2022,t34,flat,flat
7/12/2022,t35,flat,flat
7/12/2022,t36,flat,flat
7/12/2022,t37,,
7/13/2022,t18,cave,flat
7/13/2022,t63,cave,cave
7/13/2022,t38,cave,flat
7/13/2022,t39,flat,flat
7/14/2022,t22,flat,flat
7/14/2022,t40,cave,cave
7/14/2022,t23,flat,flat
7/15/2022,t53,vex,flat
7/15/2022,t62,flat,flat
7/15/2022,t64,flat,flat
7/18/2022,t8,flat,flat
7/18/2022,t61,flat,flat
7/18/2022,t19,flat,flat
7/18/2022,t54,flat,flat
7/18/2022,t55,flat,flat
7/19/2022,t56,flat,flat
7/19/2022,t21,flat,flat
7/19/2022,t9,vex,vex
7/19/2022,t60,cave,flat
7/20/2022,t57,flat,flat
7/20/2022,t20,flat,flat
7/20/2022,t58,flat,flat
7/21/2022,t17,flat,flat
7/21/2022,t59,flat,flat
7/25/2022,t72,flat,flat
